OTU,Sample,Abundance,SampleID,Study_group,PigID,Group,Cohort,Gender,Age_days,Age_week,Housing_facility,Housing_facility1,Sampling,sampling1,TimePre_PosPart,pre_post_delivery,plain_mac,mac.tet,mac.cef,mac.gen,mac.sulfa,mac.amp,mac.strep,mac.azthr,mac.chl,plain_Ent,Ent.tet,Ent.nal,Ent.gen,ENT.tylo,Ent.ery,Ent.linco,Ent.len,Ent.nitrof,Ent.pen,Ent.strep,log10.16s,log10tetAcopies.gram,log10ctxmcopies.gram1.1,Raw_ASVcount,RawInput,From_Cutadapt,Dada2filtered,percentage_inputpassedfilter,denoised,merged,percentage.of.input.merged,non.chimeric,percentage.of.input.non.chimeric,Length_filtered_Counts,input_newdada2,filtered_newdada2,denoisedF_newdada2,denoisedR_newdada2,merged_newdada2,nonchim_newdada2,X.retained_newdada2,S.Name.DMM,assignment_all_dmm_sow,assignment_all_dmm_sow_rearrange,Kingdom,Phylum,Class,Order,Family,Genus,plotabun7
ASV89,VV127,347.185493,VV127.E7,Breeder_sows,369,369.T7,2,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,NA,6.71,5.73,4.51,0,4.71,5.11,4.62,4.68,0,6.66,5.17,3.81,0,3.98,4.11,4.2,0,0,4.28,0,10.34,5.5,5.89,109991,180053,166305,155410,93.45,152235,135411,81.42,110005,66.15,109991,180053,165384,161679,159711,137941,118098,0.655906872,VV127,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV128,295.952381,VV128.E8,Breeder_sows,379,379.T7,2,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,NA,6.78,5.75,3.81,0,5.2,5,5.05,0,0,6.5,4.7,3.81,4.11,0,3.81,0,0,0,4.11,0,10.46,5.33,5.63,94423,145794,135981,128210,94.29,125923,113625,83.56,94428,69.44,94423,145794,135503,132724,131310,115889,101105,0.69347847,VV128,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV124,287.4354561,VV124.E4,Breeder_sows,391,391.T7,1,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,NA,6.88,5.8,4.76,4.35,5.42,5.07,5.37,4.66,0,6.46,5.51,0,4.11,0,0,0,0,0,0,0,9.32,6.46,6.02,98125,158383,148658,139750,94.01,136634,120702,81.19,98129,66.01,98125,158383,147100,143602,141671,121721,105325,0.665001926,VV124,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV132,275.6293324,VV132.E12,Breeder_sows,391,391.T8,1,F,350,50,Farrowing barn,Farrowing,On the day of parturition – Parity 1 ,Parturition,0,NA,6.89,5.66,5.64,4.35,5.11,5.49,5.05,4.2,0,6.59,6.26,4.72,4.35,4.26,4.39,4.54,0,0,0,0,9.44,5.28,5.46,99461,158559,147513,138314,93.76,135747,119313,80.88,99465,67.43,99461,158559,146709,143328,141159,121119,106897,0.674178066,VV132,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV122,252.2219553,VV122.E2,Breeder_sows,296,296.T7,1,F,343,49,Breeding barn,Breeding,1 week prior to moving to farrowing house – Parity 1 ,Breeding_Gestation,-1,NA,6.84,5.74,4.35,4.58,5.52,5.83,0,4.86,4.23,6.46,5.54,4.18,3.81,3.94,3.94,3.75,0,0,3.81,0,10.4,5.65,5.87,88282,145031,135965,127372,93.68,124992,112847,83,88284,64.93,88282,145031,133603,130489,129551,112353,93903,0.647468472,VV122,3,3,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV139,252.1718147,VV139.F7,Breeder_sows,389,389.T9,1,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,NA,6.63,6.47,4.56,3.9,4.46,4.35,0,4.46,4.46,5.88,5.26,4.08,0,0,0,4.86,0,3.9,0,3.86,10.16,5.8,5.63,99970,165092,151474,140935,93.04,138531,125111,82.6,99978,66,99970,165092,150426,147264,145372,127188,108038,0.654410874,VV139,3,3,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV138,241.9391722,VV138.F6,Breeder_sows,296,296.T9,1,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,NA,6.65,5.54,3.2,0,0,4.6,0,0,4.6,5.84,3.79,3.51,0,0,0,4.94,0,0,0,3.2,9.64,6.91,6.03,100618,169281,154001,144652,93.93,142097,128342,83.34,100622,65.34,100618,169281,155246,151954,150096,131886,109368,0.646073688,VV138,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV079,232.8458943,VV079.A7,Breeder_sows,369,369.T1,2,F,21,3,Segregated Early Weaning (SEW) barn,First growing,At the time of purchase/entering 1st growing facility,Growing,-47,NA,6.64,6.28,5.29,6.31,5.08,6.38,0,5.52,5.13,6.59,6.13,5.19,4.11,5.41,5.11,5.19,0,4.11,0,3.98,10.92,6.57,6.61,88095,142823,133061,125232,94.12,123689,114925,86.37,88095,66.21,88095,142823,132462,130380,129393,114296,93785,0.65665194,VV079,4,1,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV143,228.6026201,VV143.F11,Breeder_sows,369,369.T9,2,F,371,53,Farrowing barn,Farrowing,On the day finishing weaning/separation from litter  – Parity 1 ,Postpartum,3,NA,6.89,6.7,4.75,0,4.25,4.16,0,4.52,4.33,6.08,5.79,4.47,0,4.72,4.64,4.52,0,0,0,0,10.33,5.15,5.93,84845,130335,119483,112058,93.79,110140,98431,82.38,84845,71.01,84845,130335,120035,117466,115644,101567,91707,0.703625273,VV143,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
ASV89,VV115,222.2502523,VV115.D7,Breeder_sows,389,389.T6,1,F,224,32,Breeding barn,Breeding,At first mating – Parity 1 ,Breeding_Gestation,-18,NA,6.87,5.53,3.81,4.65,5.42,5.37,5.41,4.88,0,6.87,0,3.6,4.2,4.78,4.83,4.77,0,3.86,0,0,10.05,6.17,5.84,91215,158592,147518,139192,94.36,136431,119749,81.18,91215,61.83,91215,158592,147615,144000,142421,121446,98101,0.618574707,VV115,1,4,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Family XIII AD3011 group,no
