S.Name,input_sow,filtered_sow,denoisedF_sow,denoisedR_sow,merged_sow,nonchim_sow,%retained_sow
VV073,34519,31843,31480,31025,29714,29573,0.856716591
VV074,130784,121382,119955,119143,108748,97178,0.743041962
VV075,148671,138336,135568,133903,118404,105234,0.707831386
VV076,162638,149808,146614,143694,126437,111605,0.686217243
VV077,143400,132857,130914,129590,118417,103335,0.720606695
VV078,824,747,692,675,586,586,0.711165049
VV079,142823,132462,130380,129393,114296,93785,0.65665194
VV080,85086,78117,76864,76184,74326,73800,0.867357732
VV081,177169,163390,160335,159439,141562,122710,0.692615525
VV082,144475,133163,131158,129822,116146,101787,0.704530196
VV083,163031,151061,148166,146660,127285,109346,0.670706798
VV084,148294,136660,134436,132882,117515,103864,0.700392464
VV085,118474,110251,107701,106278,91017,80022,0.675439337
VV086,184222,168940,165705,164434,145388,122224,0.66346039
VV087,166438,153127,150644,149113,135061,119029,0.715155193
VV088,161940,150144,147124,145297,125630,108829,0.672032852
VV089,159394,146935,144025,142099,125048,110846,0.695421409
VV090,172962,158812,155420,153703,134532,116415,0.673066916
VV091,159957,147484,144679,142671,123467,100592,0.628869009
VV092,173189,159450,156484,154421,134954,114314,0.660053468
VV093,169092,155419,151730,149826,127480,106820,0.631727107
VV094,156873,145344,142699,140553,121671,102092,0.650793954
VV095,156481,144048,140845,139258,120193,101094,0.646046485
VV096,152090,140438,137908,136319,118956,100683,0.661996186
VV097,176392,162072,158732,157255,137451,113636,0.644224228
VV098,183844,168589,165610,164497,144794,118811,0.646259873
VV099,160077,146641,143651,142034,124522,107313,0.670383628
VV100,161010,148167,144768,143257,124468,105955,0.658064716
VV101,184089,169050,165757,164302,143024,115655,0.628255898
VV102,162843,149833,146531,144963,126377,108224,0.664591048
VV103,177228,163647,160322,158682,138501,115165,0.649812671
VV104,172025,157458,154360,152464,133020,111684,0.649231216
VV105,160153,146394,142788,141203,120008,100473,0.62735634
VV106,153110,141767,138323,135844,115266,101487,0.662837176
VV107,151643,140313,137358,135419,117194,99433,0.655704517
VV108,118810,109335,106813,104986,91486,82930,0.698005218
VV109,156765,145015,141995,140268,121404,104429,0.66614997
VV110,149415,138143,134726,133305,114791,101782,0.68120336
VV111,156100,144845,141191,139157,118849,103156,0.660832799
VV112,167218,153913,150959,149615,131753,110322,0.659749548
VV113,145914,135589,132639,130493,112082,94330,0.646476692
VV114,167535,153977,149912,147414,125305,106546,0.635962635
VV115,158592,147615,144000,142421,121446,98101,0.618574707
VV116,150030,139220,135992,133719,114372,98672,0.657681797
VV117,166815,154067,150179,148360,125231,105734,0.633839883
VV118,141885,131891,128694,126917,107169,92707,0.653395355
VV119,139365,130285,127324,125785,108392,89317,0.640885445
VV120,150261,139409,136080,133930,114504,97082,0.646089138
VV121,168610,155118,151047,149310,125602,101501,0.601986834
VV122,145031,133603,130489,129551,112353,93903,0.647468472
VV123,164945,153662,150329,147595,127199,112124,0.679765983
VV124,158383,147100,143602,141671,121721,105325,0.665001926
VV125,170028,157368,153675,151151,128955,105780,0.622132825
VV126,177098,162012,158745,157331,138504,117794,0.665134558
VV127,180053,165384,161679,159711,137941,118098,0.655906872
VV128,145794,135503,132724,131310,115889,101105,0.69347847
VV129,160527,148185,145143,143202,124308,106087,0.660867019
VV130,142549,131813,129388,127957,114525,100471,0.704817291
VV131,140201,129858,126975,124792,107163,93480,0.666757013
VV132,158559,146709,143328,141159,121119,106897,0.674178066
VV133,143601,130898,127424,125356,107003,94713,0.659556688
VV134,141990,130982,127324,125230,104468,89524,0.630495105
VV135,143913,132510,129152,126940,108578,95292,0.662150049
VV136,146094,134928,131454,128820,109327,94388,0.646077183
VV137,147395,135043,132097,130474,115191,97420,0.66094508
VV138,169281,155246,151954,150096,131886,109368,0.646073688
VV139,165092,150426,147264,145372,127188,108038,0.654410874
VV140,149635,137323,134789,133148,119033,104236,0.696601731
VV141,162322,148311,144649,142091,121991,108081,0.665843201
VV142,134822,124314,121318,119000,101303,90306,0.669816499
VV143,130335,120035,117466,115644,101567,91707,0.703625273
VV144,151880,139766,136376,133509,113621,99241,0.653417171
