ASV,VV073,VV074,VV075,VV076,VV077,VV078,VV079,VV080,VV081,VV082,VV083,VV084,VV085,VV086,VV087,VV088,VV089,VV090,VV091,VV092,VV093,VV094,VV095,VV096,VV097,VV098,VV099,VV100,VV101,VV102,VV103,VV104,VV105,VV106,VV107,VV108,VV109,VV110,VV111,VV112,VV113,VV114,VV115,VV116,VV117,VV118,VV119,VV120,VV121,VV122,VV123,VV124,VV125,VV126,VV127,VV128,VV129,VV130,VV131,VV132,VV133,VV134,VV135,VV136,VV137,VV138,VV139,VV140,VV141,VV142,VV143,VV144
682dc19ac6f537dde81a61477a54b9f6,200,0,6178,400,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0
7e40fd425626fb987cacb5bba2e9fdd0,111,0,3544,281,17,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21c4f85553422fcdad3cab2a044a5817,10,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,10,0,0,0,0,0,0,72,75,0,3,0,0,0,0
c1f7901b037c7a60813f4135ceb64ddf,77,682,1800,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,98,0,0,0,54,0,0,0,0,0,0,157,139,46,58,0,0,0,0
52cd320ab7d3ffed52e6967af91c0210,0,0,2406,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,15,0,0,0,0,0,27,0,0,0,0,0,0,0,21,0,76,0,0,0,0,0,0,0,0,0
9b569268ee8135c71a9180dee9fa95e1,46,0,2132,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,44,0,0,0,0,0,0,0,0,0
b610ab28a2fca0fbe92468b75b5b2cba,36,0,983,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,43,0,0,0,0,0,0,32,0,0,0,0,0,0,30,0,50
bf5d1fc8f429ad38ea4ed576aed11147,0,5,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,26,0,0,0,0,18,0,0,0,0,12,0,0,0,0,10,10,0,0,0,0,0,23,0,0,0,51,0,7,0,33,0,0,28,29,46,141,91,105,21,26,21,34,0,65
2af2df91d5654baa34e8dfbcf4d09e74,0,0,3,0,0,0,0,0,3,0,87,68,0,25,0,0,2,0,0,0,0,0,0,0,2,0,6,26,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,14,0,30,21,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0
b1b58743e28757abc6fc82d9bf43b331,0,0,357,54,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,71,44,0,0,0,0,0,22,0,0,0,0,0,8,0,0,0,0
fb7f4f8a015429e67d4a620aebe23a06,0,0,419,26,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
