ASV,Kingdom,Phylum,Class,Order,Family,Genus,Species
682dc19ac6f537dde81a61477a54b9f6,Fungi,,,,,,
7e40fd425626fb987cacb5bba2e9fdd0,Fungi,Ascomycota,,,,,
21c4f85553422fcdad3cab2a044a5817,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Diutina,Diutina_catenulata
c1f7901b037c7a60813f4135ceb64ddf,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia_orientalis
52cd320ab7d3ffed52e6967af91c0210,Fungi,Ascomycota,,,,,
9b569268ee8135c71a9180dee9fa95e1,Fungi,Ascomycota,,,,,
b610ab28a2fca0fbe92468b75b5b2cba,Fungi,Ascomycota,,,,,
bf5d1fc8f429ad38ea4ed576aed11147,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida_tropicalis
2af2df91d5654baa34e8dfbcf4d09e74,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Candida,Candida_smithsonii
b1b58743e28757abc6fc82d9bf43b331,Fungi,Ascomycota,,,,,
fb7f4f8a015429e67d4a620aebe23a06,Fungi,,,,,,
fcc03290297ef7864829dbfed0148ce8,Fungi,,,,,,
bc2a755ad8e32d9ccda863c30870217c,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia_orientalis
9d74026da3b1d7b79fb2e697ee64b2cc,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania_bovina
845bab7565a8dafda13efa668e99071c,Fungi,Ascomycota,,,,,
3eea7149e738974010a3ac7bc970ba6f,Fungi,,,,,,
152fac817a06beaaee14105be8a40b3b,Fungi,Ascomycota,,,,,
5132946a3d732e6272b46762ac34c732,Fungi,Ascomycota,,,,,
16949bc15083ca92d3d955966b977fc6,Fungi,,,,,,
9c3e2f269708004402cf9b7488c39c8c,Fungi,Ascomycota,,,,,
0a89d0c761b39097b36b24fc43f21848,Fungi,,,,,,
4325fa9b65bed22d44e959e877a5fe98,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,Clavispora_lusitaniae
5b058660ebdb81aec617a29baa6592f8,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Diutina,Diutina_catenulata
802e7edb500585c5f5494c19d65be04d,Fungi,Ascomycota,,,,,
6eb66191d67adbda253c2a7194855037,Fungi,Ascomycota,,,,,
4c41bcbec0f93ac7dc34d1be3456b66d,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia_orientalis
83711abfb6119d14119f869c6c44658e,Fungi,Ascomycota,,,,,
a8e2f5778ae7223cdda43f0ca7d8105a,Fungi,,,,,,
072a2d693ef364a21920794df5a3f604,Fungi,,,,,,
b2892a5dffe4c76827c8ebdaeb7eedbc,Fungi,,,,,,
4fc4791075a8eba622e1b1ff45e9cacd,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Diutina,Diutina_catenulata
98db8a84fe8c58e8a5bed598eaefabae,Fungi,Ascomycota,,,,,
f57a072b2bcb8369ad2e0716c9ddc2da,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Kodamaea,Kodamaea_ohmeri
af0ea015117b8ff28b6a4d2b0ab2ec2b,Fungi,Ascomycota,,,,,
ecc2674e8473785bd06a372b2127c400,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia_orientalis
c9596849f128381a062997d6074a0b83,Fungi,Ascomycota,,,,,
96c0f9da9d630281a3fa34d88fefd121,Fungi,,,,,,
9a3ea33a08dae87772e646a692cb0645,Fungi,Ascomycota,,,,,
01b29c264623f9891085a83afc1e430e,Fungi,,,,,,
0405095fa3bc34afdec0a0ffc2c3fe9c,Fungi,,,,,,
9dfb481ba89fc1174f7f87ac6d708bdf,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania_bovina
b526670227d75118179d79e0e74437e9,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia_orientalis
5225acbab7cc4cbd7614d803f0329980,Fungi,,,,,,
5a28cd9c652c1faa83be3793d1b33321,Fungi,Ascomycota,,,,,
71a3353b283daefbe14500bdf915b70e,Fungi,,,,,,
160b5f53ab3de50c4f5e3eec1f17a158,Fungi,,,,,,
649e45542d6bdb77d67626964299a39b,Fungi,Ascomycota,,,,,
34c8458618f30f126b21a960072dc0ba,Fungi,Ascomycota,,,,,
65304fd2ff3784b369c51d1c01bc251d,Fungi,,,,,,
1f9c8f9ab408dea50625f64d93ec5b12,Fungi,,,,,,
7ebd8ca2c99e449a3ee151b4c1c5eafa,Fungi,Ascomycota,,,,,
1cef714cf541ad81f53e4fa91765ec81,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Issatchenkia,Issatchenkia_orientalis
4778b9212abb1e5a4a00af7c218549bf,Fungi,Ascomycota,,,,,
827d382c16507e95a5a3a968df864584,Fungi,Ascomycota,,,,,
eff605eef674f1adb2b54b31d013c997,Fungi,Ascomycota,,,,,
5bc317d54dcefd8ddd9637a72a1b480e,Fungi,,,,,,
93472919155e989c1dc5c5545d4d99a2,Fungi,Ascomycota,,,,,
bcacc16c21c597d88c3f7d76c4c70d70,Fungi,Ascomycota,,,,,
b1614496b181fd25ec66487cccb2bb98,Fungi,,,,,,
6c10e6c1b4fc2b2a645ec07817155ee5,Fungi,Ascomycota,,,,,
3105f1b02154e2fb1d03a07d9b202ffd,Fungi,Ascomycota,,,,,
c28dd09c6ae99d66f34ff10d1595e74b,Fungi,,,,,,
35102689ea25774354689207938cd4d6,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Diutina,Diutina_catenulata
78d7eb0372139dca0592ba70a7871013,Fungi,Ascomycota,,,,,
14739a6db79bed8c8476a684902208b8,Fungi,,,,,,
d26c74dbc62dc1f7a8670d4b77be4283,Fungi,,,,,,
c8080cd47d319cb2cbfeaf43a840e49f,Fungi,,,,,,
d230f48cb0aacffb100d499b8319456e,Fungi,,,,,,
18dadd2bb5acb064089f434ee4f7b7b7,Fungi,Ascomycota,,,,,
c1cb55e804031b2aee877542902599b3,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Kazachstania,Kazachstania_bovina
f82453ccd88a3714137ea395dcb09627,Fungi,Ascomycota,,,,,
2f804c3b52df019685262f1ee1afebcc,Fungi,,,,,,
4e3f5f23280d1fe85cb71b91f8dce7c5,Fungi,Ascomycota,,,,,
5c51e2ac74b9aaeee5f09b6a2ccccff8,Fungi,,,,,,
1b208b49fb242e2e65d330405a799044,Fungi,,,,,,
fcb0b5d830bd9a3dd62f8ddf360e7d28,Fungi,,,,,,
0a3dd80f3e3ead04493d091cf3c71cb9,Fungi,,,,,,
7ebd0cc53e8d4effda490e8478c39727,Fungi,,,,,,
03b1d8a0b3afd7662e48bc38b2dff8fc,Fungi,Ascomycota,,,,,
b1caff8f9b97b4aa92c1d7ea4b8e7d4f,Fungi,,,,,,
b75cfe73053035a26a5b092827930392,Fungi,,,,,,
1c43da17f13357fa62853bee056d567b,Fungi,,,,,,
0c7911a0a39a036800a172a903c41151,Fungi,,,,,,
38e1d5b6d2236f17d4166b6cabd16304,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,Alternaria_terricola
1773361087fa8312b05a2bb47daed953,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Kodamaea,Kodamaea_ohmeri
245818b5fbbf46d8b31f1f0064ddfa3c,Fungi,,,,,,
306b99ecc844be036e25a78923d6e493,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,unidentified
def805eb71cab26c8f81cdee4c1ce359,Fungi,,,,,,
6fa77259d5677e5896d52c527ee54e8b,Fungi,Ascomycota,,,,,
2c7d145ca4b16bbec07e20434a870226,Fungi,,,,,,
d1db632a2892f03dbfa94f930d01ddd0,Fungi,,,,,,
