pigID,pigID_blind,age_days,age_days_edit,age_week,gender_cohort,Study_group,housing,sampling,biome_study,variableid,group,variable,amr_biome,indices,value,animal_prev,amr_prev
292,1,21,21,3,1,Breeder_sows,Segregated Early Weaning (SEW) barn,At the time of purchase/entering 1st growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.842392147,1,1
296,2,21,21,3,1,Breeder_sows,Segregated Early Weaning (SEW) barn,At the time of purchase/entering 1st growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.610077963,1,1
389,7,21,21,3,1,Breeder_sows,Segregated Early Weaning (SEW) barn,At the time of purchase/entering 1st growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.559586971,1,1
391,8,21,21,3,1,Breeder_sows,Segregated Early Weaning (SEW) barn,At the time of purchase/entering 1st growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.875241058,1,1
388,,21,21,3,1,Breeder_sows,Segregated Early Weaning (SEW) barn,At the time of purchase/entering 1st growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.729687866,1,1
394,,21,21,3,1,Breeder_sows,Segregated Early Weaning (SEW) barn,At the time of purchase/entering 1st growing facility,no,plain.mac,MAC,No drug,No drug,plain.mac,6.731693849,1,1
363,3,21,21,3,2,Breeder_sows,Segregated Early Weaning (SEW) barn,At the time of purchase/entering 1st growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.997294107,1,1
366,4,21,21,3,2,Breeder_sows,Segregated Early Weaning (SEW) barn,At the time of purchase/entering 1st growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.842392147,1,1
369,5,21,21,3,2,Breeder_sows,Segregated Early Weaning (SEW) barn,At the time of purchase/entering 1st growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.638272164,1,1
379,6,21,21,3,2,Breeder_sows,Segregated Early Weaning (SEW) barn,At the time of purchase/entering 1st growing facility,yes,plain.mac,MAC,No drug,No drug,plain.mac,6.685268727,1,1
