PigID,cohort,Age_weeks,sampling1,16s rRNA Quantity Avg. (copies),per g of feces x3500,log10 16s,average tetA,log10tet,stand tetA,standardize tetA (log 10),average ctxm,log10ctxm,stand ctxm,stand ctxm(log 10),averagectxm1,standctxm1,standctxm1_log 10
292,1,3,Growing,29629133.57,1.04E+11,11.015787,5404697.137,6.732771362,5.21E-05,-4.283015634,,,0,.,1,9.64E-12,-11.01578713
296,1,3,Growing,18357603.53,64251612340,10.80788403,114475589.3,8.058712888,0.001781677,-2.749171142,226352.1463,5.354784617,3.52E-06,-5.453099413,226353.1463,3.52E-06,-5.453097495
389,1,3,Growing,15639152.76,54737034657,10.73828127,2931439.383,6.467080918,5.36E-05,-4.271200348,440252.6059,5.643701935,8.04E-06,-5.094579331,440253.6059,8.04E-06,-5.094578344
391,1,3,Growing,21635843.42,75725451984,10.87924187,30201048.11,7.480022015,0.000398823,-3.399219859,248211.2129,5.394821397,3.28E-06,-5.484420477,248212.2129,3.28E-06,-5.484418728
363,2,3,Growing,4866894.917,17034132211,10.23132001,13905763.38,7.143194835,0.000816347,-3.088125179,116650.2964,5.066885847,6.85E-06,-5.164434167,116651.2964,6.85E-06,-5.164430444
366,2,3,Growing,8166981.091,28584433820,10.45612959,39272938.15,7.594093394,0.001373927,-2.862036201,141547.2427,5.150901414,4.95E-06,-5.305228181,141548.2427,4.95E-06,-5.305225112
369,2,3,Growing,23817968.06,83362888193,10.92097275,3690008.161,6.567027327,4.43E-05,-4.353945426,410328.5824,5.61313177,4.92E-06,-5.307840983,410329.5824,4.92E-06,-5.307839925
379,2,3,Growing,10334882.06,36172087226,10.55837357,6134535.542,6.787781687,0.000169593,-3.770591882,142241.2777,5.153025645,3.93E-06,-5.405347925,142242.2777,3.93E-06,-5.405344871
292,1,6,Growing,34730726.09,1.22E+11,11.08478191,7095267,6.850968743,5.84E-05,-4.233813164,568141.9628,5.754456867,4.67E-06,-5.33032504,568142.9628,4.67E-06,-5.330325914
296,1,6,Growing,54585700.89,1.91E+11,11.28114694,2208712.21,6.344139132,1.16E-05,-4.937007803,28978.38061,4.462074112,1.52E-07,-6.819072823,28979.38061,1.52E-07,-6.819057943
389,1,6,Growing,37002204.58,1.30E+11,11.11229564,7861015.373,6.895478646,6.07E-05,-4.216816999,62302.28396,4.794503968,4.81E-07,-6.317791676,62303.28396,4.81E-07,-6.317785658
